Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Міщенко;Леонід;Амвросійович;Чоловік;25-02-1988;Няня;селище Кам'янець-Подільський;площа Лесі Українки, буд. 4, Харцизьк, 98924;+380 82 333-98-70;orkhypmishchenko@example.org
Вишиваний;Ілля;Панасович;Чоловік;19-02-1941;Випробувач;хутір Малин;набережна Михайла Жванецького, буд. 389 кв. 966, Коломия, 24265;+380 49 097-58-74;vbabych@example.net
Таран;Кирило;Вʼячеславович;Чоловік;23-12-1986;Складальник;село Герца;вулиця Пішонівська, буд. 566, Керч, 05850;081 619 95 98;irena19@example.net
Сімашкевич;Оксана;Єфремівна;Жінка;29-11-2002;Будник;селище Саки ;шосе Партизанська, буд. 085, Миронівка, 76016;+380 03 980-30-24;ieva03@example.net
Бандура;Альберт;Пилипович;Чоловік;14-05-1984;Кур'єр;село Яремче;сквер Скляний 3-й, буд. 4, Арциз, 40357;001 760 66 62;okhrimenkoiustyna@example.org
Свистун;Леонід;Олегович;Чоловік;21-01-1984;Пілот;село Бердичів;шосе Тимірязєва 4-й, буд. 37 кв. 5, Хрестівка, 36359;+380 (05) 131-49-89;arkadii28@example.net
Носенко;Тереза;Кирилівна;Жінка;02-01-1980;Музикознавець;селище Часів Яр;парк Сурикова 2-й, буд. 93, Карлівка, 94812;336 25 70;romanzharko@example.net
Чумак;Ольга;Францівна;Жінка;01-06-1997;Дерун;селище Рахів;узвіз Зарічна, буд. 7 кв. 341, Українка , 31078;+380 01 417-47-74;tsisykvitalii@example.org
Овчаренко;Ліза;Зиновіївна;Жінка;06-08-1953;Педагог;село Боково-Хрустальне;проспект Бориса Літвака, буд. 2 кв. 199, Стебник, 75628;034 27 87;panteleimon69@example.com
Василечко;Аніта;Леонівна;Жінка;03-03-1977;Футболіст;місто Шумськ;шосе Ламаний, буд. 52 кв. 126, Вінниця, 84971;015 667-24-84;malyshkodemyd@example.org
Радченко;Олесь;Олександрович;Чоловік;09-01-1968;Сантехнік;село Ніжин;проспект Східний 1-й, буд. 756, Херсон, 01375;+380 72 471 13 35;alinashakhrai@example.org
Бандура;Ярослава;Геннадіївна;Жінка;15-11-1980;Мірошник;село Алмазна;набережна Зернова, буд. 04 кв. 59, Алчевськ, 57992;+380 35 309-05-41;stepanlubenets@example.net
Корсун;Панас;Орестович;Чоловік;16-11-1941;Музикознавець;селище Новий Калинів;узвіз Наклонна, буд. 44, Рожище, 43185;+380 (46) 796-71-65;oles93@example.net
Безбородьки;Данило;Аврелійович;Чоловік;20-05-1988;Намотувальник;селище Верхньодніпровськ;сквер Гладкова, буд. 3, Долинська, 93239;+380 41 825 00 03;tereshchenkonataliia@example.org
Цимбал;Алевтин;Глібович;Чоловік;28-12-1943;Дантист;місто Житомир;сквер Стражеска Миколи, буд. 383 кв. 655, Миронівка, 49538;+380 (51) 314-37-67;vovkirena@example.net
Ткач;Болеслав;Артемович;Чоловік;30-10-1987;Няня;місто Узин;шосе Дежньова, буд. 5 кв. 7, Жданівка, 55236;+380 16 965-54-75;nestor00@example.com
Зубко;Андрій;Стефанович;Чоловік;25-08-1986;Хімік;хутір Марганець ;проспект Шилова, буд. 14 кв. 50, Павлоград, 83954;087 627 41 51;upoltavets@example.net
Фесенко;Богуслава;Романівна;Жінка;13-06-1967;Економіст;селище Суми;шосе 2-й Академічний тупик, буд. 8, Заставна, 17355;+380 89 188 66 24;zynovii02@example.com
Луценко;Спас;Антонович;Чоловік;26-05-1948;Композитор;селище Пустомити;узвіз Юхима Фесенка, буд. 23, Кипуче, 47268;050 872 45 37;nazar08@example.net
Базилевський;Олег;Ааронович;Чоловік;09-01-1988;Фрілансер;село Алмазна;парк Чорноморська, буд. 91 кв. 34, Бахчисарай, 58351;382 99 89;mykyta79@example.net
Бабʼюк;Валерій;Леонович;Чоловік;29-03-1970;Ветеринар;село Костянтинівка;провулок Лінія 27-ма, буд. 5 кв. 731, Дунаївці, 46730;781 60 73;iosyp84@example.net
Данько;Пилип;Орхипович;Чоловік;17-02-2008;Будник;хутір Рубіжне;проспект Пастера, буд. 9 кв. 396, Вознесенськ, 11429;433-16-17;sorlyk@example.net
Вівчаренко;Орест;Миронович;Чоловік;15-03-1981;Кінолог;хутір Вишгород;проспект Сонячна, буд. 0, Винники, 81919;191-89-74;aaleksandrenko@example.net
Франчук;Остап;Леопольдович;Чоловік;12-08-1992;Електрик;хутір Бахмут;вулиця Олександра Невського 2-й, буд. 184, Богуслав, 70087;301 04 91;anitaolifirenko@example.org
Дараган;Адам;Мартинович;Чоловік;21-01-2005;Кухар;селище Стрий;вулиця 5-та Лінія Марії Демченко, буд. 24 кв. 2, Богуслав, 17595;+380 72 090-63-69;mykhailo15@example.net
Арсенич;Оксана;Андріївна;Жінка;02-01-1970;Кінорежисер;село Ржищів;узвіз Деревообробний 4-й, буд. 63, Новомиргород, 76246;003 518 50 08;avhustyn60@example.com
Лавренко;Віолетта;Ігнатівна;Жінка;08-07-1950;Астронавт;місто Васильків;узвіз Махачкалинська, буд. 56 кв. 79, Рожище, 47231;+380 45 982 63 19;sofiiavashchenko@example.net
Атаманчук;Алевтин;Миколайович;Чоловік;10-12-1945;Географ;селище Вознесенськ;вулиця Дальня, буд. 042 кв. 543, Сватове, 30604;085 999 23 76;chekaliukvolodymyr@example.com
Ґереґа;Левко;Борисович;Чоловік;06-10-1967;Гінеколог;село Борщів;парк Магнітогорський 3-й, буд. 781 кв. 6, Рахів, 15562;+380 42 217 96 19;irynabarabash@example.com
Медведенко;Онисим;Григорійович;Чоловік;01-04-2001;Патологоанатом;місто Дружба ;узвіз Академіка Вільямса, буд. 4, Овруч, 43440;+380 80 547 18 41;iakiv56@example.org
Овчаренко;Левко;Антонович;Чоловік;10-06-1980;Круп'є;місто Вознесенівка;проспект Слави, буд. 239 кв. 58, Умань, 08435;026 636-28-55;terezaasaula@example.com
Проценко;Ярема;Арсенович;Чоловік;23-11-1976;Бібліотекар;місто Південне ;парк Поперечний, буд. 7 кв. 284, Старобільськ, 63189;093 880-64-96;gbabii@example.com
Ейбоженко;Пріска;Омелянівна;Жінка;27-05-1987;Гицель;хутір Новоукраїнка;вулиця Бугаївська, буд. 5, Шепетівка, 58094;+380 46 471-76-31;hannadavymuka@example.org
Данченко;Ліза;Леонідівна;Жінка;16-03-1943;Хореограф;місто Почаїв;вулиця Рульовий, буд. 99, Мелітополь, 06864;+380 (90) 851-98-98;khmarairena@example.org
Сірко;Віктор;Аврелійович;Чоловік;25-08-2001;Провізор;місто Молодогвардійськ;шосе Садова 6-та, буд. 803, Жашків, 12101;+380 31 841-00-08;demian84@example.com
Рубан;Наталія;Антонівна;Жінка;27-11-1993;Маркетолог;хутір Болград;парк Першотравневий 1-й, буд. 9, Угнів, 51162;676 37 85;gvasylenko@example.net
Редько;Давид;Іллйович;Чоловік;25-06-1967;Мінералог;хутір Тисмениця;узвіз Луганська, буд. 154, Святогірськ, 20270;+380 33 465-88-76;liubov82@example.net
Яремчук;Леон;Йосипович;Чоловік;28-11-2006;Дерун;хутір Могилів-Подільський;провулок Луцька, буд. 89 кв. 703, Сватове, 64900;060 46 65;tnesterenko@example.net
Гайденко;Мілена;Опанасівна;Жінка;13-06-1994;Няня;село Боярка;узвіз Лесі Українки, буд. 33, Міусинськ, 28304;+380 (09) 830-88-94;sostapchuk@example.org
Верховинець;Лілія;Григоріївна;Жінка;19-03-1951;Футболіст;хутір Золотоноша;провулок Новоселів, буд. 52 кв. 555, Великі Мости, 23192;087 660-46-06;qsmyk@example.net
Артюх;Пилип;Глібович;Чоловік;25-02-1982;Редактор;село Молодогвардійськ;парк Деревообробна, буд. 286, Золотоноша, 14402;+380 92 807-30-14;ukolesnychenko@example.com
